,Time (CET),Day-ahead Total Load Forecast [MW] - BZN|DE-LU,Actual Total Load [MW] - BZN|DE-LU,Imbalance [MW],Quarter
0,01.01.2019 00:00 - 01.01.2019 00:15,44202.0,43289.0,-913.0,0
1,01.01.2019 00:15 - 01.01.2019 00:30,43988.0,43113.0,-875.0,1
2,01.01.2019 00:30 - 01.01.2019 00:45,43433.0,42931.0,-502.0,2
3,01.01.2019 00:45 - 01.01.2019 01:00,42889.0,42976.0,87.0,3
4,01.01.2019 01:00 - 01.01.2019 01:15,42374.0,42383.0,9.0,4
5,01.01.2019 01:15 - 01.01.2019 01:30,41868.0,42144.0,276.0,5
6,01.01.2019 01:30 - 01.01.2019 01:45,41341.0,41598.0,257.0,6
7,01.01.2019 01:45 - 01.01.2019 02:00,41068.0,40834.0,-234.0,7
8,01.01.2019 02:00 - 01.01.2019 02:15,40760.0,41322.0,562.0,8
9,01.01.2019 02:15 - 01.01.2019 02:30,40521.0,40504.0,-17.0,9
10,01.01.2019 02:30 - 01.01.2019 02:45,40485.0,39501.0,-984.0,10
11,01.01.2019 02:45 - 01.01.2019 03:00,40446.0,38994.0,-1452.0,11
12,01.01.2019 03:00 - 01.01.2019 03:15,40267.0,39337.0,-930.0,12
13,01.01.2019 03:15 - 01.01.2019 03:30,40218.0,39211.0,-1007.0,13
14,01.01.2019 03:30 - 01.01.2019 03:45,40287.0,38877.0,-1410.0,14
15,01.01.2019 03:45 - 01.01.2019 04:00,40273.0,38739.0,-1534.0,15
16,01.01.2019 04:00 - 01.01.2019 04:15,40425.0,38714.0,-1711.0,16
17,01.01.2019 04:15 - 01.01.2019 04:30,40580.0,39400.0,-1180.0,17
18,01.01.2019 04:30 - 01.01.2019 04:45,40674.0,39402.0,-1272.0,18
19,01.01.2019 04:45 - 01.01.2019 05:00,40734.0,39199.0,-1535.0,19
20,01.01.2019 05:00 - 01.01.2019 05:15,41008.0,39226.0,-1782.0,20
21,01.01.2019 05:15 - 01.01.2019 05:30,40858.0,39208.0,-1650.0,21
22,01.01.2019 05:30 - 01.01.2019 05:45,40917.0,38904.0,-2013.0,22
23,01.01.2019 05:45 - 01.01.2019 06:00,40834.0,38551.0,-2283.0,23
24,01.01.2019 06:00 - 01.01.2019 06:15,40369.0,37666.0,-2703.0,24
25,01.01.2019 06:15 - 01.01.2019 06:30,40673.0,38170.0,-2503.0,25
26,01.01.2019 06:30 - 01.01.2019 06:45,40895.0,38254.0,-2641.0,26
27,01.01.2019 06:45 - 01.01.2019 07:00,41197.0,38200.0,-2997.0,27
28,01.01.2019 07:00 - 01.01.2019 07:15,41861.0,38570.0,-3291.0,28
29,01.01.2019 07:15 - 01.01.2019 07:30,42213.0,38662.0,-3551.0,29
30,01.01.2019 07:30 - 01.01.2019 07:45,43715.0,38634.0,-5081.0,30
31,01.01.2019 07:45 - 01.01.2019 08:00,44562.0,39057.0,-5505.0,31
32,01.01.2019 08:00 - 01.01.2019 08:15,45789.0,38923.0,-6866.0,32
33,01.01.2019 08:15 - 01.01.2019 08:30,45872.0,38981.0,-6891.0,33
34,01.01.2019 08:30 - 01.01.2019 08:45,46341.0,39248.0,-7093.0,34
35,01.01.2019 08:45 - 01.01.2019 09:00,46876.0,39468.0,-7408.0,35
36,01.01.2019 09:00 - 01.01.2019 09:15,48129.0,40519.0,-7610.0,36
37,01.01.2019 09:15 - 01.01.2019 09:30,49049.0,41663.0,-7386.0,37
38,01.01.2019 09:30 - 01.01.2019 09:45,49541.0,42118.0,-7423.0,38
39,01.01.2019 09:45 - 01.01.2019 10:00,49857.0,42352.0,-7505.0,39
40,01.01.2019 10:00 - 01.01.2019 10:15,50412.0,43254.0,-7158.0,40
41,01.01.2019 10:15 - 01.01.2019 10:30,51048.0,43987.0,-7061.0,41
42,01.01.2019 10:30 - 01.01.2019 10:45,51269.0,44513.0,-6756.0,42
43,01.01.2019 10:45 - 01.01.2019 11:00,52098.0,45051.0,-7047.0,43
44,01.01.2019 11:00 - 01.01.2019 11:15,52478.0,46219.0,-6259.0,44
45,01.01.2019 11:15 - 01.01.2019 11:30,53164.0,47325.0,-5839.0,45
46,01.01.2019 11:30 - 01.01.2019 11:45,53907.0,48384.0,-5523.0,46
47,01.01.2019 11:45 - 01.01.2019 12:00,54398.0,49038.0,-5360.0,47
48,01.01.2019 12:00 - 01.01.2019 12:15,53654.0,49550.0,-4104.0,48
49,01.01.2019 12:15 - 01.01.2019 12:30,53811.0,49318.0,-4493.0,49
50,01.01.2019 12:30 - 01.01.2019 12:45,53125.0,49325.0,-3800.0,50
51,01.01.2019 12:45 - 01.01.2019 13:00,52569.0,49258.0,-3311.0,51
52,01.01.2019 13:00 - 01.01.2019 13:15,51938.0,49156.0,-2782.0,52
53,01.01.2019 13:15 - 01.01.2019 13:30,51291.0,48645.0,-2646.0,53
54,01.01.2019 13:30 - 01.01.2019 13:45,51046.0,48457.0,-2589.0,54
55,01.01.2019 13:45 - 01.01.2019 14:00,50203.0,48763.0,-1440.0,55
56,01.01.2019 14:00 - 01.01.2019 14:15,50111.0,48734.0,-1377.0,56
57,01.01.2019 14:15 - 01.01.2019 14:30,49251.0,48359.0,-892.0,57
58,01.01.2019 14:30 - 01.01.2019 14:45,49491.0,48632.0,-859.0,58
59,01.01.2019 14:45 - 01.01.2019 15:00,49790.0,48438.0,-1352.0,59
60,01.01.2019 15:00 - 01.01.2019 15:15,49916.0,49121.0,-795.0,60
61,01.01.2019 15:15 - 01.01.2019 15:30,49333.0,48885.0,-448.0,61
62,01.01.2019 15:30 - 01.01.2019 15:45,49567.0,49356.0,-211.0,62
63,01.01.2019 15:45 - 01.01.2019 16:00,49494.0,49557.0,63.0,63
64,01.01.2019 16:00 - 01.01.2019 16:15,50110.0,50565.0,455.0,64
65,01.01.2019 16:15 - 01.01.2019 16:30,51032.0,50496.0,-536.0,65
66,01.01.2019 16:30 - 01.01.2019 16:45,51740.0,51429.0,-311.0,66
67,01.01.2019 16:45 - 01.01.2019 17:00,52000.0,52338.0,338.0,67
68,01.01.2019 17:00 - 01.01.2019 17:15,53324.0,53616.0,292.0,68
69,01.01.2019 17:15 - 01.01.2019 17:30,54001.0,54219.0,218.0,69
70,01.01.2019 17:30 - 01.01.2019 17:45,54805.0,54609.0,-196.0,70
71,01.01.2019 17:45 - 01.01.2019 18:00,54820.0,54992.0,172.0,71
72,01.01.2019 18:00 - 01.01.2019 18:15,55092.0,55078.0,-14.0,72
73,01.01.2019 18:15 - 01.01.2019 18:30,55327.0,54825.0,-502.0,73
74,01.01.2019 18:30 - 01.01.2019 18:45,55180.0,54813.0,-367.0,74
75,01.01.2019 18:45 - 01.01.2019 19:00,55063.0,54835.0,-228.0,75
76,01.01.2019 19:00 - 01.01.2019 19:15,54674.0,55246.0,572.0,76
77,01.01.2019 19:15 - 01.01.2019 19:30,54081.0,54557.0,476.0,77
78,01.01.2019 19:30 - 01.01.2019 19:45,53523.0,54292.0,769.0,78
79,01.01.2019 19:45 - 01.01.2019 20:00,53003.0,53585.0,582.0,79
80,01.01.2019 20:00 - 01.01.2019 20:15,52484.0,53184.0,700.0,80
81,01.01.2019 20:15 - 01.01.2019 20:30,51382.0,52808.0,1426.0,81
82,01.01.2019 20:30 - 01.01.2019 20:45,50701.0,52056.0,1355.0,82
83,01.01.2019 20:45 - 01.01.2019 21:00,50410.0,51492.0,1082.0,83
84,01.01.2019 21:00 - 01.01.2019 21:15,49633.0,50947.0,1314.0,84
85,01.01.2019 21:15 - 01.01.2019 21:30,49485.0,50246.0,761.0,85
86,01.01.2019 21:30 - 01.01.2019 21:45,50163.0,49999.0,-164.0,86
87,01.01.2019 21:45 - 01.01.2019 22:00,49313.0,49868.0,555.0,87
88,01.01.2019 22:00 - 01.01.2019 22:15,49709.0,50615.0,906.0,88
89,01.01.2019 22:15 - 01.01.2019 22:30,49432.0,49641.0,209.0,89
90,01.01.2019 22:30 - 01.01.2019 22:45,48563.0,48947.0,384.0,90
91,01.01.2019 22:45 - 01.01.2019 23:00,47792.0,48224.0,432.0,91
92,01.01.2019 23:00 - 01.01.2019 23:15,46754.0,47694.0,940.0,92
93,01.01.2019 23:15 - 01.01.2019 23:30,46068.0,46780.0,712.0,93
94,01.01.2019 23:30 - 01.01.2019 23:45,45248.0,45904.0,656.0,94
95,01.01.2019 23:45 - 02.01.2019 00:00,44770.0,45242.0,472.0,95
96,02.01.2019 00:00 - 02.01.2019 00:15,43245.0,45516.0,2271.0,0
97,02.01.2019 00:15 - 02.01.2019 00:30,43028.0,44946.0,1918.0,1
98,02.01.2019 00:30 - 02.01.2019 00:45,42723.0,43838.0,1115.0,2
99,02.01.2019 00:45 - 02.01.2019 01:00,42376.0,43466.0,1090.0,3
100,02.01.2019 01:00 - 02.01.2019 01:15,41940.0,43526.0,1586.0,4
101,02.01.2019 01:15 - 02.01.2019 01:30,41658.0,42908.0,1250.0,5
102,02.01.2019 01:30 - 02.01.2019 01:45,41367.0,42980.0,1613.0,6
103,02.01.2019 01:45 - 02.01.2019 02:00,41249.0,42693.0,1444.0,7
104,02.01.2019 02:00 - 02.01.2019 02:15,40806.0,42482.0,1676.0,8
105,02.01.2019 02:15 - 02.01.2019 02:30,40736.0,42659.0,1923.0,9
106,02.01.2019 02:30 - 02.01.2019 02:45,40751.0,42948.0,2197.0,10
107,02.01.2019 02:45 - 02.01.2019 03:00,40849.0,42524.0,1675.0,11
108,02.01.2019 03:00 - 02.01.2019 03:15,40945.0,41568.0,623.0,12
109,02.01.2019 03:15 - 02.01.2019 03:30,41036.0,41929.0,893.0,13
110,02.01.2019 03:30 - 02.01.2019 03:45,41219.0,42410.0,1191.0,14
111,02.01.2019 03:45 - 02.01.2019 04:00,41324.0,42581.0,1257.0,15
112,02.01.2019 04:00 - 02.01.2019 04:15,41991.0,43152.0,1161.0,16
113,02.01.2019 04:15 - 02.01.2019 04:30,42425.0,43706.0,1281.0,17
114,02.01.2019 04:30 - 02.01.2019 04:45,42871.0,44459.0,1588.0,18
115,02.01.2019 04:45 - 02.01.2019 05:00,43209.0,44980.0,1771.0,19
116,02.01.2019 05:00 - 02.01.2019 05:15,44574.0,45457.0,883.0,20
117,02.01.2019 05:15 - 02.01.2019 05:30,45168.0,46374.0,1206.0,21
118,02.01.2019 05:30 - 02.01.2019 05:45,46467.0,47539.0,1072.0,22
119,02.01.2019 05:45 - 02.01.2019 06:00,47972.0,48819.0,847.0,23
120,02.01.2019 06:00 - 02.01.2019 06:15,50547.0,50400.0,-147.0,24
121,02.01.2019 06:15 - 02.01.2019 06:30,52755.0,51776.0,-979.0,25
122,02.01.2019 06:30 - 02.01.2019 06:45,54459.0,53897.0,-562.0,26
123,02.01.2019 06:45 - 02.01.2019 07:00,55987.0,55608.0,-379.0,27
124,02.01.2019 07:00 - 02.01.2019 07:15,57504.0,56848.0,-656.0,28
125,02.01.2019 07:15 - 02.01.2019 07:30,58259.0,57628.0,-631.0,29
126,02.01.2019 07:30 - 02.01.2019 07:45,59378.0,58794.0,-584.0,30
127,02.01.2019 07:45 - 02.01.2019 08:00,60064.0,59403.0,-661.0,31
128,02.01.2019 08:00 - 02.01.2019 08:15,60653.0,60428.0,-225.0,32
129,02.01.2019 08:15 - 02.01.2019 08:30,61178.0,60545.0,-633.0,33
130,02.01.2019 08:30 - 02.01.2019 08:45,61162.0,60958.0,-204.0,34
131,02.01.2019 08:45 - 02.01.2019 09:00,61133.0,61490.0,357.0,35
132,02.01.2019 09:00 - 02.01.2019 09:15,60765.0,61809.0,1044.0,36
133,02.01.2019 09:15 - 02.01.2019 09:30,61400.0,62241.0,841.0,37
134,02.01.2019 09:30 - 02.01.2019 09:45,61424.0,62722.0,1298.0,38
135,02.01.2019 09:45 - 02.01.2019 10:00,61975.0,63252.0,1277.0,39
136,02.01.2019 10:00 - 02.01.2019 10:15,62274.0,63635.0,1361.0,40
137,02.01.2019 10:15 - 02.01.2019 10:30,62703.0,63934.0,1231.0,41
138,02.01.2019 10:30 - 02.01.2019 10:45,62825.0,64227.0,1402.0,42
139,02.01.2019 10:45 - 02.01.2019 11:00,62931.0,63965.0,1034.0,43
140,02.01.2019 11:00 - 02.01.2019 11:15,63395.0,64334.0,939.0,44
141,02.01.2019 11:15 - 02.01.2019 11:30,63651.0,64882.0,1231.0,45
142,02.01.2019 11:30 - 02.01.2019 11:45,64027.0,65459.0,1432.0,46
143,02.01.2019 11:45 - 02.01.2019 12:00,63885.0,64970.0,1085.0,47
144,02.01.2019 12:00 - 02.01.2019 12:15,63598.0,64972.0,1374.0,48
145,02.01.2019 12:15 - 02.01.2019 12:30,63755.0,64855.0,1100.0,49
146,02.01.2019 12:30 - 02.01.2019 12:45,63549.0,64794.0,1245.0,50
147,02.01.2019 12:45 - 02.01.2019 13:00,63523.0,64578.0,1055.0,51
148,02.01.2019 13:00 - 02.01.2019 13:15,63418.0,64638.0,1220.0,52
149,02.01.2019 13:15 - 02.01.2019 13:30,63326.0,64339.0,1013.0,53
150,02.01.2019 13:30 - 02.01.2019 13:45,63084.0,64274.0,1190.0,54
151,02.01.2019 13:45 - 02.01.2019 14:00,62117.0,63129.0,1012.0,55
152,02.01.2019 14:00 - 02.01.2019 14:15,61788.0,62834.0,1046.0,56
153,02.01.2019 14:15 - 02.01.2019 14:30,61276.0,62692.0,1416.0,57
154,02.01.2019 14:30 - 02.01.2019 14:45,61376.0,62480.0,1104.0,58
155,02.01.2019 14:45 - 02.01.2019 15:00,61816.0,62220.0,404.0,59
156,02.01.2019 15:00 - 02.01.2019 15:15,62128.0,62769.0,641.0,60
157,02.01.2019 15:15 - 02.01.2019 15:30,61156.0,62380.0,1224.0,61
158,02.01.2019 15:30 - 02.01.2019 15:45,61107.0,62313.0,1206.0,62
159,02.01.2019 15:45 - 02.01.2019 16:00,60825.0,62338.0,1513.0,63
160,02.01.2019 16:00 - 02.01.2019 16:15,61368.0,62882.0,1514.0,64
161,02.01.2019 16:15 - 02.01.2019 16:30,62010.0,62637.0,627.0,65
162,02.01.2019 16:30 - 02.01.2019 16:45,62819.0,63928.0,1109.0,66
163,02.01.2019 16:45 - 02.01.2019 17:00,62826.0,65151.0,2325.0,67
164,02.01.2019 17:00 - 02.01.2019 17:15,63354.0,67014.0,3660.0,68
165,02.01.2019 17:15 - 02.01.2019 17:30,63820.0,67594.0,3774.0,69
166,02.01.2019 17:30 - 02.01.2019 17:45,64174.0,67514.0,3340.0,70
167,02.01.2019 17:45 - 02.01.2019 18:00,64174.0,67685.0,3511.0,71
168,02.01.2019 18:00 - 02.01.2019 18:15,63903.0,67473.0,3570.0,72
169,02.01.2019 18:15 - 02.01.2019 18:30,64005.0,67188.0,3183.0,73
170,02.01.2019 18:30 - 02.01.2019 18:45,64182.0,66974.0,2792.0,74
171,02.01.2019 18:45 - 02.01.2019 19:00,63926.0,66678.0,2752.0,75
172,02.01.2019 19:00 - 02.01.2019 19:15,63613.0,66404.0,2791.0,76
173,02.01.2019 19:15 - 02.01.2019 19:30,62949.0,65515.0,2566.0,77
174,02.01.2019 19:30 - 02.01.2019 19:45,62726.0,64390.0,1664.0,78
175,02.01.2019 19:45 - 02.01.2019 20:00,62056.0,63952.0,1896.0,79
176,02.01.2019 20:00 - 02.01.2019 20:15,60471.0,62980.0,2509.0,80
177,02.01.2019 20:15 - 02.01.2019 20:30,58858.0,62091.0,3233.0,81
178,02.01.2019 20:30 - 02.01.2019 20:45,58416.0,61010.0,2594.0,82
179,02.01.2019 20:45 - 02.01.2019 21:00,57813.0,60350.0,2537.0,83
180,02.01.2019 21:00 - 02.01.2019 21:15,56997.0,59613.0,2616.0,84
181,02.01.2019 21:15 - 02.01.2019 21:30,56195.0,58922.0,2727.0,85
182,02.01.2019 21:30 - 02.01.2019 21:45,56274.0,58234.0,1960.0,86
183,02.01.2019 21:45 - 02.01.2019 22:00,54852.0,57960.0,3108.0,87
184,02.01.2019 22:00 - 02.01.2019 22:15,54727.0,57950.0,3223.0,88
185,02.01.2019 22:15 - 02.01.2019 22:30,53946.0,57134.0,3188.0,89
186,02.01.2019 22:30 - 02.01.2019 22:45,52934.0,56266.0,3332.0,90
187,02.01.2019 22:45 - 02.01.2019 23:00,51860.0,55303.0,3443.0,91
188,02.01.2019 23:00 - 02.01.2019 23:15,50607.0,53995.0,3388.0,92
189,02.01.2019 23:15 - 02.01.2019 23:30,49428.0,52265.0,2837.0,93
190,02.01.2019 23:30 - 02.01.2019 23:45,48557.0,51311.0,2754.0,94
191,02.01.2019 23:45 - 03.01.2019 00:00,47561.0,50640.0,3079.0,95
192,03.01.2019 00:00 - 03.01.2019 00:15,48609.0,49417.0,808.0,0
193,03.01.2019 00:15 - 03.01.2019 00:30,48620.0,49103.0,483.0,1
194,03.01.2019 00:30 - 03.01.2019 00:45,48264.0,48525.0,261.0,2
195,03.01.2019 00:45 - 03.01.2019 01:00,47678.0,47558.0,-120.0,3
196,03.01.2019 01:00 - 03.01.2019 01:15,47095.0,47524.0,429.0,4
197,03.01.2019 01:15 - 03.01.2019 01:30,46558.0,47387.0,829.0,5
198,03.01.2019 01:30 - 03.01.2019 01:45,46855.0,47179.0,324.0,6
199,03.01.2019 01:45 - 03.01.2019 02:00,46324.0,46797.0,473.0,7
200,03.01.2019 02:00 - 03.01.2019 02:15,46033.0,46436.0,403.0,8
201,03.01.2019 02:15 - 03.01.2019 02:30,45741.0,46424.0,683.0,9
202,03.01.2019 02:30 - 03.01.2019 02:45,46235.0,46524.0,289.0,10
203,03.01.2019 02:45 - 03.01.2019 03:00,46220.0,46415.0,195.0,11
204,03.01.2019 03:00 - 03.01.2019 03:15,46074.0,46233.0,159.0,12
205,03.01.2019 03:15 - 03.01.2019 03:30,46213.0,46090.0,-123.0,13
206,03.01.2019 03:30 - 03.01.2019 03:45,46333.0,46165.0,-168.0,14
207,03.01.2019 03:45 - 03.01.2019 04:00,46413.0,46297.0,-116.0,15
208,03.01.2019 04:00 - 03.01.2019 04:15,47086.0,46192.0,-894.0,16
209,03.01.2019 04:15 - 03.01.2019 04:30,46894.0,46385.0,-509.0,17
210,03.01.2019 04:30 - 03.01.2019 04:45,47660.0,46899.0,-761.0,18
211,03.01.2019 04:45 - 03.01.2019 05:00,47994.0,47245.0,-749.0,19
212,03.01.2019 05:00 - 03.01.2019 05:15,48998.0,48156.0,-842.0,20
213,03.01.2019 05:15 - 03.01.2019 05:30,49107.0,48525.0,-582.0,21
214,03.01.2019 05:30 - 03.01.2019 05:45,50000.0,49368.0,-632.0,22
215,03.01.2019 05:45 - 03.01.2019 06:00,50780.0,50550.0,-230.0,23
216,03.01.2019 06:00 - 03.01.2019 06:15,51876.0,52192.0,316.0,24
217,03.01.2019 06:15 - 03.01.2019 06:30,53371.0,53560.0,189.0,25
218,03.01.2019 06:30 - 03.01.2019 06:45,54728.0,55005.0,277.0,26
219,03.01.2019 06:45 - 03.01.2019 07:00,56047.0,56176.0,129.0,27
220,03.01.2019 07:00 - 03.01.2019 07:15,57649.0,57673.0,24.0,28
221,03.01.2019 07:15 - 03.01.2019 07:30,59527.0,58887.0,-640.0,29
222,03.01.2019 07:30 - 03.01.2019 07:45,60264.0,60095.0,-169.0,30
223,03.01.2019 07:45 - 03.01.2019 08:00,61242.0,61250.0,8.0,31
224,03.01.2019 08:00 - 03.01.2019 08:15,62489.0,62236.0,-253.0,32
225,03.01.2019 08:15 - 03.01.2019 08:30,62313.0,62968.0,655.0,33
226,03.01.2019 08:30 - 03.01.2019 08:45,62603.0,63275.0,672.0,34
227,03.01.2019 08:45 - 03.01.2019 09:00,62794.0,63640.0,846.0,35
228,03.01.2019 09:00 - 03.01.2019 09:15,62781.0,,590.5348877929204,36
229,03.01.2019 09:15 - 03.01.2019 09:30,64059.0,,590.5348877929204,37
230,03.01.2019 09:30 - 03.01.2019 09:45,63383.0,,590.5348877929204,38
231,03.01.2019 09:45 - 03.01.2019 10:00,63889.0,,590.5348877929204,39
232,03.01.2019 10:00 - 03.01.2019 10:15,63794.0,,590.5348877929204,40
233,03.01.2019 10:15 - 03.01.2019 10:30,64033.0,,590.5348877929204,41
234,03.01.2019 10:30 - 03.01.2019 10:45,63960.0,,590.5348877929204,42
235,03.01.2019 10:45 - 03.01.2019 11:00,63834.0,,590.5348877929204,43
236,03.01.2019 11:00 - 03.01.2019 11:15,64474.0,,590.5348877929204,44
237,03.01.2019 11:15 - 03.01.2019 11:30,64584.0,,590.5348877929204,45
238,03.01.2019 11:30 - 03.01.2019 11:45,64871.0,,590.5348877929204,46
239,03.01.2019 11:45 - 03.01.2019 12:00,64983.0,,590.5348877929204,47
240,03.01.2019 12:00 - 03.01.2019 12:15,64090.0,,590.5348877929204,48
241,03.01.2019 12:15 - 03.01.2019 12:30,64294.0,,590.5348877929204,49
242,03.01.2019 12:30 - 03.01.2019 12:45,64107.0,,590.5348877929204,50
243,03.01.2019 12:45 - 03.01.2019 13:00,63643.0,,590.5348877929204,51
244,03.01.2019 13:00 - 03.01.2019 13:15,63561.0,65905.0,2344.0,52
245,03.01.2019 13:15 - 03.01.2019 13:30,63054.0,65402.0,2348.0,53
246,03.01.2019 13:30 - 03.01.2019 13:45,62548.0,64807.0,2259.0,54
247,03.01.2019 13:45 - 03.01.2019 14:00,62226.0,64270.0,2044.0,55
248,03.01.2019 14:00 - 03.01.2019 14:15,62057.0,64251.0,2194.0,56
249,03.01.2019 14:15 - 03.01.2019 14:30,61403.0,64111.0,2708.0,57
250,03.01.2019 14:30 - 03.01.2019 14:45,61603.0,64012.0,2409.0,58
251,03.01.2019 14:45 - 03.01.2019 15:00,62096.0,63511.0,1415.0,59
252,03.01.2019 15:00 - 03.01.2019 15:15,62758.0,63612.0,854.0,60
253,03.01.2019 15:15 - 03.01.2019 15:30,61901.0,63400.0,1499.0,61
254,03.01.2019 15:30 - 03.01.2019 15:45,62040.0,62966.0,926.0,62
255,03.01.2019 15:45 - 03.01.2019 16:00,62110.0,63128.0,1018.0,63
256,03.01.2019 16:00 - 03.01.2019 16:15,62532.0,63382.0,850.0,64
257,03.01.2019 16:15 - 03.01.2019 16:30,63428.0,63889.0,461.0,65
258,03.01.2019 16:30 - 03.01.2019 16:45,64356.0,64654.0,298.0,66
259,03.01.2019 16:45 - 03.01.2019 17:00,64549.0,65832.0,1283.0,67
260,03.01.2019 17:00 - 03.01.2019 17:15,65236.0,67105.0,1869.0,68
261,03.01.2019 17:15 - 03.01.2019 17:30,65776.0,67759.0,1983.0,69
262,03.01.2019 17:30 - 03.01.2019 17:45,65672.0,68067.0,2395.0,70
263,03.01.2019 17:45 - 03.01.2019 18:00,66294.0,68153.0,1859.0,71
264,03.01.2019 18:00 - 03.01.2019 18:15,65902.0,68013.0,2111.0,72
265,03.01.2019 18:15 - 03.01.2019 18:30,65936.0,67691.0,1755.0,73
266,03.01.2019 18:30 - 03.01.2019 18:45,65978.0,67579.0,1601.0,74
267,03.01.2019 18:45 - 03.01.2019 19:00,64755.0,67431.0,2676.0,75
268,03.01.2019 19:00 - 03.01.2019 19:15,64462.0,66868.0,2406.0,76
269,03.01.2019 19:15 - 03.01.2019 19:30,64041.0,66055.0,2014.0,77
270,03.01.2019 19:30 - 03.01.2019 19:45,63839.0,65303.0,1464.0,78
271,03.01.2019 19:45 - 03.01.2019 20:00,62642.0,64715.0,2073.0,79
272,03.01.2019 20:00 - 03.01.2019 20:15,61755.0,63638.0,1883.0,80
273,03.01.2019 20:15 - 03.01.2019 20:30,59835.0,62439.0,2604.0,81
274,03.01.2019 20:30 - 03.01.2019 20:45,59801.0,61579.0,1778.0,82
275,03.01.2019 20:45 - 03.01.2019 21:00,59146.0,60870.0,1724.0,83
276,03.01.2019 21:00 - 03.01.2019 21:15,57873.0,60245.0,2372.0,84
277,03.01.2019 21:15 - 03.01.2019 21:30,57365.0,59846.0,2481.0,85
278,03.01.2019 21:30 - 03.01.2019 21:45,57729.0,58823.0,1094.0,86
279,03.01.2019 21:45 - 03.01.2019 22:00,56382.0,58537.0,2155.0,87
280,03.01.2019 22:00 - 03.01.2019 22:15,56379.0,58626.0,2247.0,88
281,03.01.2019 22:15 - 03.01.2019 22:30,54194.0,57988.0,3794.0,89
282,03.01.2019 22:30 - 03.01.2019 22:45,54426.0,56905.0,2479.0,90
283,03.01.2019 22:45 - 03.01.2019 23:00,52982.0,56405.0,3423.0,91
284,03.01.2019 23:00 - 03.01.2019 23:15,53026.0,55560.0,2534.0,92
285,03.01.2019 23:15 - 03.01.2019 23:30,51709.0,54699.0,2990.0,93
286,03.01.2019 23:30 - 03.01.2019 23:45,49984.0,53896.0,3912.0,94
287,03.01.2019 23:45 - 04.01.2019 00:00,49359.0,53338.0,3979.0,95
288,04.01.2019 00:00 - 04.01.2019 00:15,46999.0,52124.0,5125.0,0
289,04.01.2019 00:15 - 04.01.2019 00:30,46876.0,51384.0,4508.0,1
290,04.01.2019 00:30 - 04.01.2019 00:45,46247.0,50810.0,4563.0,2
291,04.01.2019 00:45 - 04.01.2019 01:00,45660.0,50124.0,4464.0,3
292,04.01.2019 01:00 - 04.01.2019 01:15,45064.0,48827.0,3763.0,4
293,04.01.2019 01:15 - 04.01.2019 01:30,44694.0,48382.0,3688.0,5
294,04.01.2019 01:30 - 04.01.2019 01:45,44362.0,48631.0,4269.0,6
295,04.01.2019 01:45 - 04.01.2019 02:00,44155.0,48642.0,4487.0,7
296,04.01.2019 02:00 - 04.01.2019 02:15,43879.0,48604.0,4725.0,8
297,04.01.2019 02:15 - 04.01.2019 02:30,43668.0,48443.0,4775.0,9
298,04.01.2019 02:30 - 04.01.2019 02:45,43835.0,48352.0,4517.0,10
299,04.01.2019 02:45 - 04.01.2019 03:00,43855.0,48225.0,4370.0,11
300,04.01.2019 03:00 - 04.01.2019 03:15,43867.0,48282.0,4415.0,12
301,04.01.2019 03:15 - 04.01.2019 03:30,43910.0,48223.0,4313.0,13
302,04.01.2019 03:30 - 04.01.2019 03:45,44072.0,48520.0,4448.0,14
303,04.01.2019 03:45 - 04.01.2019 04:00,44139.0,48546.0,4407.0,15
304,04.01.2019 04:00 - 04.01.2019 04:15,44555.0,48845.0,4290.0,16
305,04.01.2019 04:15 - 04.01.2019 04:30,44803.0,48877.0,4074.0,17
306,04.01.2019 04:30 - 04.01.2019 04:45,45123.0,49264.0,4141.0,18
307,04.01.2019 04:45 - 04.01.2019 05:00,45540.0,49827.0,4287.0,19
308,04.01.2019 05:00 - 04.01.2019 05:15,46516.0,50413.0,3897.0,20
309,04.01.2019 05:15 - 04.01.2019 05:30,46655.0,50653.0,3998.0,21
310,04.01.2019 05:30 - 04.01.2019 05:45,47476.0,51225.0,3749.0,22
311,04.01.2019 05:45 - 04.01.2019 06:00,48525.0,52391.0,3866.0,23
312,04.01.2019 06:00 - 04.01.2019 06:15,49890.0,54155.0,4265.0,24
313,04.01.2019 06:15 - 04.01.2019 06:30,51551.0,56051.0,4500.0,25
314,04.01.2019 06:30 - 04.01.2019 06:45,52886.0,56939.0,4053.0,26
315,04.01.2019 06:45 - 04.01.2019 07:00,53981.0,58337.0,4356.0,27
316,04.01.2019 07:00 - 04.01.2019 07:15,55366.0,60245.0,4879.0,28
317,04.01.2019 07:15 - 04.01.2019 07:30,56096.0,61408.0,5312.0,29
318,04.01.2019 07:30 - 04.01.2019 07:45,57927.0,62590.0,4663.0,30
319,04.01.2019 07:45 - 04.01.2019 08:00,58722.0,63619.0,4897.0,31
320,04.01.2019 08:00 - 04.01.2019 08:15,59571.0,64783.0,5212.0,32
321,04.01.2019 08:15 - 04.01.2019 08:30,60106.0,65030.0,4924.0,33
322,04.01.2019 08:30 - 04.01.2019 08:45,60392.0,65428.0,5036.0,34
323,04.01.2019 08:45 - 04.01.2019 09:00,60665.0,65805.0,5140.0,35
