"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar  [MW] Intraday / BZN|DE-AT-LU","Generation - Solar  [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-AT-LU"
"28.04.2018 20:00 - 28.04.2018 20:15","325","N/A","","1017","1006","1123","3274","N/A","764"
"28.04.2018 20:15 - 28.04.2018 20:30","139","N/A","","1010","991","1117","3236","N/A","799"
"28.04.2018 20:30 - 28.04.2018 20:45","47","N/A","","996","975","1093","3195","N/A","810"
"28.04.2018 20:45 - 28.04.2018 21:00","10","N/A","","983","964","1042","3133","N/A","729"
"28.04.2018 21:00 - 28.04.2018 21:15","1","N/A","","972","949","1018","3061","N/A","621"
"28.04.2018 21:15 - 28.04.2018 21:30","0","N/A","","971","929","937","3013","N/A","625"
"28.04.2018 21:30 - 28.04.2018 21:45","0","N/A","","971","906","907","2966","N/A","566"
"28.04.2018 21:45 - 28.04.2018 22:00","0","N/A","","968","886","868","2924","N/A","533"
"28.04.2018 22:00 - 28.04.2018 22:15","0","N/A","","962","864","862","2907","N/A","543"
"28.04.2018 22:15 - 28.04.2018 22:30","0","N/A","","964","845","815","2911","N/A","545"
"28.04.2018 22:30 - 28.04.2018 22:45","0","N/A","","957","822","795","2920","N/A","568"
"28.04.2018 22:45 - 28.04.2018 23:00","0","N/A","","951","806","759","2922","N/A","583"
"28.04.2018 23:00 - 28.04.2018 23:15","0","N/A","","945","790","754","2910","N/A","572"
"28.04.2018 23:15 - 28.04.2018 23:30","0","N/A","","944","771","723","2876","N/A","629"
"28.04.2018 23:30 - 28.04.2018 23:45","0","N/A","","945","754","711","2836","N/A","667"
"28.04.2018 23:45 - 29.04.2018 00:00","0","N/A","","942","739","688","2801","N/A","727"
"29.04.2018 00:00 - 29.04.2018 00:15","0","N/A","","982","717","680","2562","N/A","725"
"29.04.2018 00:15 - 29.04.2018 00:30","0","N/A","","954","721","685","2532","N/A","748"
"29.04.2018 00:30 - 29.04.2018 00:45","0","N/A","","921","722","685","2513","N/A","768"
"29.04.2018 00:45 - 29.04.2018 01:00","0","N/A","","888","728","691","2484","N/A","779"
"29.04.2018 01:00 - 29.04.2018 01:15","0","N/A","","855","732","695","2460","N/A","782"
"29.04.2018 01:15 - 29.04.2018 01:30","0","N/A","","828","714","680","2443","N/A","782"
"29.04.2018 01:30 - 29.04.2018 01:45","0","N/A","","798","720","686","2419","N/A","786"
"29.04.2018 01:45 - 29.04.2018 02:00","0","N/A","","769","726","695","2400","N/A","872"
"29.04.2018 02:00 - 29.04.2018 02:15","0","N/A","","746","795","764","2423","N/A","896"
"29.04.2018 02:15 - 29.04.2018 02:30","0","N/A","","739","858","826","2391","N/A","772"
"29.04.2018 02:30 - 29.04.2018 02:45","0","N/A","","734","879","847","2353","N/A","728"
"29.04.2018 02:45 - 29.04.2018 03:00","0","N/A","","727","854","822","2319","N/A","695"
"29.04.2018 03:00 - 29.04.2018 03:15","0","N/A","","722","845","812","2268","N/A","674"
"29.04.2018 03:15 - 29.04.2018 03:30","0","N/A","","720","826","792","2248","N/A","699"
"29.04.2018 03:30 - 29.04.2018 03:45","0","N/A","","718","796","760","2223","N/A","777"
"29.04.2018 03:45 - 29.04.2018 04:00","0","N/A","","717","752","715","2195","N/A","803"
"29.04.2018 04:00 - 29.04.2018 04:15","0","N/A","","712","715","677","2187","N/A","808"
"29.04.2018 04:15 - 29.04.2018 04:30","0","N/A","","704","680","640","2199","N/A","858"
"29.04.2018 04:30 - 29.04.2018 04:45","0","N/A","","692","663","621","2211","N/A","862"
"29.04.2018 04:45 - 29.04.2018 05:00","0","N/A","","682","644","600","2212","N/A","864"
"29.04.2018 05:00 - 29.04.2018 05:15","0","N/A","","677","633","580","2199","N/A","885"
"29.04.2018 05:15 - 29.04.2018 05:30","1","N/A","","666","621","569","2222","N/A","869"
"29.04.2018 05:30 - 29.04.2018 05:45","3","N/A","","657","608","557","2246","N/A","782"
"29.04.2018 05:45 - 29.04.2018 06:00","25","N/A","","653","592","542","2271","N/A","738"
"29.04.2018 06:00 - 29.04.2018 06:15","146","N/A","","645","577","528","2300","N/A","712"
"29.04.2018 06:15 - 29.04.2018 06:30","417","N/A","","643","587","540","2331","N/A","730"
"29.04.2018 06:30 - 29.04.2018 06:45","756","N/A","","643","587","543","2358","N/A","782"
"29.04.2018 06:45 - 29.04.2018 07:00","1239","N/A","","638","579","539","2388","N/A","836"
"29.04.2018 07:00 - 29.04.2018 07:15","1970","N/A","","636","562","525","2428","N/A","862"
"29.04.2018 07:15 - 29.04.2018 07:30","2901","N/A","","636","559","524","2484","N/A","874"
"29.04.2018 07:30 - 29.04.2018 07:45","3974","N/A","","639","562","529","2537","N/A","957"
"29.04.2018 07:45 - 29.04.2018 08:00","5147","N/A","","639","550","524","2619","N/A","993"
"29.04.2018 08:00 - 29.04.2018 08:15","6463","N/A","","642","543","520","2708","N/A","1024"
"29.04.2018 08:15 - 29.04.2018 08:30","7867","N/A","","651","543","507","2730","N/A","1007"
"29.04.2018 08:30 - 29.04.2018 08:45","9358","N/A","","653","548","489","2766","N/A","993"
"29.04.2018 08:45 - 29.04.2018 09:00","10816","N/A","","660","547","492","2811","N/A","943"
"29.04.2018 09:00 - 29.04.2018 09:15","12247","N/A","","669","552","498","2864","N/A","834"
"29.04.2018 09:15 - 29.04.2018 09:30","13591","N/A","","679","555","470","2932","N/A","712"
"29.04.2018 09:30 - 29.04.2018 09:45","14872","N/A","","690","558","485","3001","N/A","699"
"29.04.2018 09:45 - 29.04.2018 10:00","16079","N/A","","700","562","494","3061","N/A","718"
"29.04.2018 10:00 - 29.04.2018 10:15","17202","N/A","","710","565","498","3125","N/A","792"
"29.04.2018 10:15 - 29.04.2018 10:30","18186","N/A","","734","579","494","3218","N/A","942"
"29.04.2018 10:30 - 29.04.2018 10:45","19119","N/A","","755","597","522","3319","N/A","1024"
"29.04.2018 10:45 - 29.04.2018 11:00","19962","N/A","","779","608","527","3408","N/A","1147"
"29.04.2018 11:00 - 29.04.2018 11:15","20714","N/A","","800","623","528","3519","N/A","1075"
"29.04.2018 11:15 - 29.04.2018 11:30","21342","N/A","","843","644","525","3670","N/A","1051"
"29.04.2018 11:30 - 29.04.2018 11:45","21927","N/A","","883","670","528","3824","N/A","1041"
"29.04.2018 11:45 - 29.04.2018 12:00","22434","N/A","","926","693","555","3965","N/A","1066"
"29.04.2018 12:00 - 29.04.2018 12:15","22814","N/A","","971","725","568","4125","N/A","1148"
"29.04.2018 12:15 - 29.04.2018 12:30","23111","N/A","","1012","765","557","4303","N/A","1274"
"29.04.2018 12:30 - 29.04.2018 12:45","23342","N/A","","1052","806","618","4472","N/A","1341"
"29.04.2018 12:45 - 29.04.2018 13:00","23501","N/A","","1092","850","667","4646","N/A","1338"
"29.04.2018 13:00 - 29.04.2018 13:15","23534","N/A","","1133","898","705","4810","N/A","1340"
"29.04.2018 13:15 - 29.04.2018 13:30","23489","N/A","","1166","946","699","4956","N/A","1409"
"29.04.2018 13:30 - 29.04.2018 13:45","23384","N/A","","1200","989","746","5095","N/A","1489"
"29.04.2018 13:45 - 29.04.2018 14:00","23224","N/A","","1235","1036","792","5221","N/A","1536"
"29.04.2018 14:00 - 29.04.2018 14:15","22946","N/A","","1275","1066","849","5350","N/A","1664"
"29.04.2018 14:15 - 29.04.2018 14:30","22568","N/A","","1331","1126","911","5533","N/A","1866"
"29.04.2018 14:30 - 29.04.2018 14:45","22120","N/A","","1390","1184","980","5699","N/A","2083"
"29.04.2018 14:45 - 29.04.2018 15:00","21596","N/A","","1445","1244","1014","5864","N/A","2368"
"29.04.2018 15:00 - 29.04.2018 15:15","20979","N/A","","1510","1314","1054","6079","N/A","2637"
"29.04.2018 15:15 - 29.04.2018 15:30","20266","N/A","","1592","1414","1060","6375","N/A","2912"
"29.04.2018 15:30 - 29.04.2018 15:45","19467","N/A","","1673","1517","1096","6667","N/A","3167"
"29.04.2018 15:45 - 29.04.2018 16:00","18610","N/A","","1754","1613","1137","6953","N/A","3417"
"29.04.2018 16:00 - 29.04.2018 16:15","17654","N/A","","1845","1730","1196","7254","N/A","3725"
"29.04.2018 16:15 - 29.04.2018 16:30","16611","N/A","","1985","1881","1167","7574","N/A","4105"
"29.04.2018 16:30 - 29.04.2018 16:45","15491","N/A","","2122","2031","1258","7890","N/A","4348"
"29.04.2018 16:45 - 29.04.2018 17:00","14321","N/A","","2257","2184","1375","8190","N/A","4443"
"29.04.2018 17:00 - 29.04.2018 17:15","13048","N/A","","2401","2330","1535","8466","N/A","4776"
"29.04.2018 17:15 - 29.04.2018 17:30","11668","N/A","","2558","2469","1575","8810","N/A","5167"
"29.04.2018 17:30 - 29.04.2018 17:45","10257","N/A","","2707","2613","1751","9169","N/A","5248"
"29.04.2018 17:45 - 29.04.2018 18:00","8836","N/A","","2854","2753","1923","9541","N/A","5200"
"29.04.2018 18:00 - 29.04.2018 18:15","7419","N/A","","3000","2889","2078","9930","N/A","5305"
"29.04.2018 18:15 - 29.04.2018 18:30","6099","N/A","","3122","2998","2128","10361","N/A","5482"
"29.04.2018 18:30 - 29.04.2018 18:45","4829","N/A","","3248","3106","2287","10762","N/A","5646"
"29.04.2018 18:45 - 29.04.2018 19:00","3660","N/A","","3370","3212","2400","11175","N/A","5642"
"29.04.2018 19:00 - 29.04.2018 19:15","2644","N/A","","3480","3307","2509","11634","N/A","5777"
"29.04.2018 19:15 - 29.04.2018 19:30","1878","N/A","","3567","3385","2552","12250","N/A","6106"
"29.04.2018 19:30 - 29.04.2018 19:45","1196","N/A","","3651","3462","2682","12868","N/A","6239"
"29.04.2018 19:45 - 29.04.2018 20:00","712","N/A","","3732","3543","2754","13487","N/A","6466"
"29.04.2018 20:00 - 29.04.2018 20:15","374","N/A","","3812","3614","2790","14079","N/A","6718"
"29.04.2018 20:15 - 29.04.2018 20:30","163","N/A","","3869","3663","2857","14576","N/A","6953"
"29.04.2018 20:30 - 29.04.2018 20:45","54","N/A","","3930","3720","3009","15062","N/A","7153"
"29.04.2018 20:45 - 29.04.2018 21:00","12","N/A","","3993","3774","3021","15538","N/A","7394"
"29.04.2018 21:00 - 29.04.2018 21:15","1","N/A","","4050","3823","3145","15978","N/A","7720"
"29.04.2018 21:15 - 29.04.2018 21:30","0","N/A","","4086","3863","3175","16393","N/A","8234"
"29.04.2018 21:30 - 29.04.2018 21:45","0","N/A","","4122","3899","3295","16812","N/A","8698"
"29.04.2018 21:45 - 29.04.2018 22:00","0","N/A","","4162","3938","3331","17217","N/A","8654"
"29.04.2018 22:00 - 29.04.2018 22:15","0","N/A","","4197","3975","3381","17466","N/A","8600"
"29.04.2018 22:15 - 29.04.2018 22:30","0","N/A","","4234","4015","3460","17726","N/A","8542"
"29.04.2018 22:30 - 29.04.2018 22:45","0","N/A","","4272","4053","3501","17996","N/A","8543"
"29.04.2018 22:45 - 29.04.2018 23:00","0","N/A","","4309","4094","3569","18284","N/A","8464"
"29.04.2018 23:00 - 29.04.2018 23:15","0","N/A","","4345","4134","3651","18522","N/A","8579"
"29.04.2018 23:15 - 29.04.2018 23:30","0","N/A","","4367","4172","3704","18414","N/A","8696"
"29.04.2018 23:30 - 29.04.2018 23:45","0","N/A","","4390","4214","3744","18295","N/A","8890"
"29.04.2018 23:45 - 30.04.2018 00:00","0","N/A","","4410","4251","3800","18177","N/A","9242"
"30.04.2018 00:00 - 30.04.2018 00:15","0","N/A","","4283","4182","3840","20216","N/A","9541"
"30.04.2018 00:15 - 30.04.2018 00:30","0","N/A","","4316","4261","3909","20336","N/A","9685"
"30.04.2018 00:30 - 30.04.2018 00:45","0","N/A","","4345","4283","3924","20468","N/A","9701"
"30.04.2018 00:45 - 30.04.2018 01:00","0","N/A","","4377","4315","3950","20562","N/A","9604"
"30.04.2018 01:00 - 30.04.2018 01:15","0","N/A","","4403","4342","3971","20629","N/A","9153"
"30.04.2018 01:15 - 30.04.2018 01:30","0","N/A","","4422","4385","4003","20727","N/A","8879"
"30.04.2018 01:30 - 30.04.2018 01:45","0","N/A","","4443","4405","4015","20833","N/A","8854"
"30.04.2018 01:45 - 30.04.2018 02:00","0","N/A","","4463","4450","4029","20937","N/A","8797"
"30.04.2018 02:00 - 30.04.2018 02:15","0","N/A","","4488","4462","4029","21059","N/A","8803"
"30.04.2018 02:15 - 30.04.2018 02:30","0","N/A","","4495","4452","4012","21078","N/A","8900"
"30.04.2018 02:30 - 30.04.2018 02:45","0","N/A","","4512","4466","4017","21079","N/A","8868"
"30.04.2018 02:45 - 30.04.2018 03:00","0","N/A","","4525","4487","4028","21117","N/A","8910"
"30.04.2018 03:00 - 30.04.2018 03:15","0","N/A","","4541","4499","4032","21045","N/A","8991"
"30.04.2018 03:15 - 30.04.2018 03:30","0","N/A","","4555","4500","4029","21104","N/A","9243"
"30.04.2018 03:30 - 30.04.2018 03:45","0","N/A","","4575","4480","4005","21165","N/A","9572"
"30.04.2018 03:45 - 30.04.2018 04:00","0","N/A","","4588","4516","4037","21274","N/A","9909"
"30.04.2018 04:00 - 30.04.2018 04:15","0","N/A","","4608","4516","4033","21377","N/A","10005"
"30.04.2018 04:15 - 30.04.2018 04:30","0","N/A","","4618","4513","4026","21377","N/A","9977"
"30.04.2018 04:30 - 30.04.2018 04:45","0","N/A","","4628","4538","4046","21391","N/A","9803"
"30.04.2018 04:45 - 30.04.2018 05:00","0","N/A","","4637","4532","4034","21392","N/A","10019"
"30.04.2018 05:00 - 30.04.2018 05:15","0","N/A","","4643","4543","4039","21365","N/A","10085"
"30.04.2018 05:15 - 30.04.2018 05:30","0","N/A","","4638","4531","4022","21227","N/A","10067"
"30.04.2018 05:30 - 30.04.2018 05:45","4","N/A","","4636","4537","4024","21066","N/A","9849"
"30.04.2018 05:45 - 30.04.2018 06:00","32","N/A","","4630","4539","4023","20794","N/A","9373"
"30.04.2018 06:00 - 30.04.2018 06:15","153","N/A","","4629","4434","3915","20718","N/A","9225"
"30.04.2018 06:15 - 30.04.2018 06:30","354","N/A","","4624","4496","3977","20505","N/A","9092"
"30.04.2018 06:30 - 30.04.2018 06:45","647","N/A","","4617","4418","3898","20295","N/A","9085"
"30.04.2018 06:45 - 30.04.2018 07:00","1067","N/A","","4610","4249","3729","20096","N/A","9425"
"30.04.2018 07:00 - 30.04.2018 07:15","1670","N/A","","4601","4381","3862","19920","N/A","9023"
"30.04.2018 07:15 - 30.04.2018 07:30","2410","N/A","","4600","4373","3854","19724","N/A","9044"
"30.04.2018 07:30 - 30.04.2018 07:45","3246","N/A","","4602","4354","3837","19546","N/A","8775"
"30.04.2018 07:45 - 30.04.2018 08:00","4142","N/A","","4602","4368","3881","19383","N/A","8363"
"30.04.2018 08:00 - 30.04.2018 08:15","5110","N/A","","4592","4381","3819","19129","N/A","7677"
"30.04.2018 08:15 - 30.04.2018 08:30","6148","N/A","","4548","4382","3684","18910","N/A","7542"
"30.04.2018 08:30 - 30.04.2018 08:45","7245","N/A","","4502","4392","3708","18698","N/A","7378"
"30.04.2018 08:45 - 30.04.2018 09:00","8342","N/A","","4462","4401","3756","18484","N/A","7210"
"30.04.2018 09:00 - 30.04.2018 09:15","9435","N/A","","4418","4404","3831","18356","N/A","7023"
"30.04.2018 09:15 - 30.04.2018 09:30","10511","N/A","","4387","4407","3922","18451","N/A","6737"
"30.04.2018 09:30 - 30.04.2018 09:45","11545","N/A","","4365","4413","3937","18540","N/A","6846"
"30.04.2018 09:45 - 30.04.2018 10:00","12544","N/A","","4335","4414","3938","18669","N/A","7222"
"30.04.2018 10:00 - 30.04.2018 10:15","13532","N/A","","4355","4537","3947","18927","N/A","7421"
"30.04.2018 10:15 - 30.04.2018 10:30","14444","N/A","","4296","4520","3927","19354","N/A","7392"
"30.04.2018 10:30 - 30.04.2018 10:45","15357","N/A","","4230","4508","3821","19824","N/A","7680"
"30.04.2018 10:45 - 30.04.2018 11:00","16225","N/A","","4170","4491","3778","20335","N/A","7901"
"30.04.2018 11:00 - 30.04.2018 11:15","16994","N/A","","4076","4451","3796","20668","N/A","7820"
"30.04.2018 11:15 - 30.04.2018 11:30","17693","N/A","","3922","4348","3631","20904","N/A","8163"
"30.04.2018 11:30 - 30.04.2018 11:45","18353","N/A","","3772","4247","3538","21151","N/A","8345"
"30.04.2018 11:45 - 30.04.2018 12:00","18932","N/A","","3615","4145","3441","21348","N/A","8379"
"30.04.2018 12:00 - 30.04.2018 12:15","19439","N/A","","3493","4050","3352","21586","N/A","8730"
"30.04.2018 12:15 - 30.04.2018 12:30","19849","N/A","","3416","3957","3191","21818","N/A","9196"
"30.04.2018 12:30 - 30.04.2018 12:45","20174","N/A","","3330","3869","3091","22062","N/A","9382"
"30.04.2018 12:45 - 30.04.2018 13:00","20413","N/A","","3246","3779","2935","22297","N/A","9751"
"30.04.2018 13:00 - 30.04.2018 13:15","20570","N/A","","3201","3713","2819","22544","N/A","9804"
"30.04.2018 13:15 - 30.04.2018 13:30","20676","N/A","","3206","3678","2549","22788","N/A","10168"
"30.04.2018 13:30 - 30.04.2018 13:45","20710","N/A","","3220","3638","2506","23003","N/A","10136"
"30.04.2018 13:45 - 30.04.2018 14:00","20685","N/A","","3220","3603","2531","23217","N/A","10054"
"30.04.2018 14:00 - 30.04.2018 14:15","20558","N/A","","3207","3502","2649","23374","N/A","10274"
"30.04.2018 14:15 - 30.04.2018 14:30","20339","N/A","","3221","3422","2803","23380","N/A","9979"
"30.04.2018 14:30 - 30.04.2018 14:45","20099","N/A","","3228","3341","2840","23398","N/A","9722"
"30.04.2018 14:45 - 30.04.2018 15:00","19801","N/A","","3223","3264","2827","23408","N/A","9539"
"30.04.2018 15:00 - 30.04.2018 15:15","19375","N/A","","3202","3156","2821","23398","N/A","9254"
"30.04.2018 15:15 - 30.04.2018 15:30","18816","N/A","","3101","3021","2733","23356","N/A","9156"
"30.04.2018 15:30 - 30.04.2018 15:45","18173","N/A","","2999","2882","2753","23293","N/A","8999"
"30.04.2018 15:45 - 30.04.2018 16:00","17487","N/A","","2904","2748","2781","23211","N/A","8884"
"30.04.2018 16:00 - 30.04.2018 16:15","16712","N/A","","2826","2628","2862","23127","N/A","8864"
"30.04.2018 16:15 - 30.04.2018 16:30","15826","N/A","","2747","2518","2904","22992","N/A","8834"
"30.04.2018 16:30 - 30.04.2018 16:45","14855","N/A","","2654","2408","2929","22867","N/A","9029"
"30.04.2018 16:45 - 30.04.2018 17:00","13826","N/A","","2565","2306","2952","22662","N/A","9015"
"30.04.2018 17:00 - 30.04.2018 17:15","12647","N/A","","2480","2215","2937","22396","N/A","8820"
"30.04.2018 17:15 - 30.04.2018 17:30","11403","N/A","","2387","2194","2880","22000","N/A","8837"
"30.04.2018 17:30 - 30.04.2018 17:45","10144","N/A","","2303","2173","2832","21600","N/A","8913"
"30.04.2018 17:45 - 30.04.2018 18:00","8837","N/A","","2214","2148","2814","21169","N/A","8715"
"30.04.2018 18:00 - 30.04.2018 18:15","7514","N/A","","2142","2133","2802","20784","N/A","8731"
"30.04.2018 18:15 - 30.04.2018 18:30","6212","N/A","","2108","2134","2767","20379","N/A","8868"
"30.04.2018 18:30 - 30.04.2018 18:45","4946","N/A","","2075","2132","2755","19943","N/A","8895"
"30.04.2018 18:45 - 30.04.2018 19:00","3773","N/A","","2038","2135","2739","19461","N/A","8854"
"30.04.2018 19:00 - 30.04.2018 19:15","2746","N/A","","2016","2153","2757","19056","N/A","8671"
"30.04.2018 19:15 - 30.04.2018 19:30","1950","N/A","","2013","2211","2866","18815","N/A","8363"
"30.04.2018 19:30 - 30.04.2018 19:45","1311","N/A","","2007","2270","2817","18571","N/A","8409"
"30.04.2018 19:45 - 30.04.2018 20:00","787","N/A","","2001","2322","2806","18504","N/A","8500"
"30.04.2018 20:00 - 30.04.2018 20:15","416","N/A","","2002","2379","2877","18445","N/A","8326"
"30.04.2018 20:15 - 30.04.2018 20:30","193","N/A","","2049","2449","3016","18580","N/A","8380"
"30.04.2018 20:30 - 30.04.2018 20:45","66","N/A","","2099","2511","3091","18708","N/A","8122"
"30.04.2018 20:45 - 30.04.2018 21:00","14","N/A","","2149","2573","3043","18858","N/A","8249"
"30.04.2018 21:00 - 30.04.2018 21:15","1","N/A","","2209","2616","3153","19104","N/A","7998"
"30.04.2018 21:15 - 30.04.2018 21:30","0","N/A","","2296","2633","3260","19462","N/A","7735"
"30.04.2018 21:30 - 30.04.2018 21:45","0","N/A","","2384","2648","3162","19817","N/A","7860"
"30.04.2018 21:45 - 30.04.2018 22:00","0","N/A","","2471","2667","3193","20210","N/A","8069"
"30.04.2018 22:00 - 30.04.2018 22:15","0","N/A","","2561","2682","3204","20405","N/A","7866"
"30.04.2018 22:15 - 30.04.2018 22:30","0","N/A","","2649","2688","3336","20747","N/A","7434"
"30.04.2018 22:30 - 30.04.2018 22:45","0","N/A","","2732","2696","3215","21092","N/A","7321"
"30.04.2018 22:45 - 30.04.2018 23:00","0","N/A","","2819","2698","3141","21404","N/A","7302"
"30.04.2018 23:00 - 30.04.2018 23:15","0","N/A","","2906","2704","3026","21665","N/A","7252"
"30.04.2018 23:15 - 30.04.2018 23:30","0","N/A","","2982","2734","2786","21764","N/A","7436"
"30.04.2018 23:30 - 30.04.2018 23:45","0","N/A","","3048","2755","2731","21876","N/A","7679"
"30.04.2018 23:45 - 01.05.2018 00:00","0","N/A","","3108","2784","2612","22000","N/A","7693"
"01.05.2018 00:00 - 01.05.2018 00:15","0","N/A","","2523","2698","2526","23393","N/A","7792"
"01.05.2018 00:15 - 01.05.2018 00:30","0","N/A","","2535","2418","2223","23747","N/A","8205"
"01.05.2018 00:30 - 01.05.2018 00:45","0","N/A","","2536","2211","1993","24086","N/A","8241"
"01.05.2018 00:45 - 01.05.2018 01:00","0","N/A","","2524","2185","1952","24437","N/A","8430"
"01.05.2018 01:00 - 01.05.2018 01:15","0","N/A","","2539","2001","1760","24741","N/A","8993"
"01.05.2018 01:15 - 01.05.2018 01:30","0","N/A","","2599","1851","1587","24959","N/A","9619"
"01.05.2018 01:30 - 01.05.2018 01:45","0","N/A","","2652","1883","1594","25154","N/A","9912"
"01.05.2018 01:45 - 01.05.2018 02:00","0","N/A","","2719","1855","1589","25303","N/A","10303"
"01.05.2018 02:00 - 01.05.2018 02:15","0","N/A","","2757","1700","1408","25475","N/A","10368"
"01.05.2018 02:15 - 01.05.2018 02:30","0","N/A","","2756","1718","1410","25429","N/A","10428"
"01.05.2018 02:30 - 01.05.2018 02:45","0","N/A","","2753","1744","1419","25395","N/A","10381"
"01.05.2018 02:45 - 01.05.2018 03:00","0","N/A","","2753","1750","1407","25371","N/A","10634"
"01.05.2018 03:00 - 01.05.2018 03:15","0","N/A","","2746","1794","1436","25393","N/A","11194"
"01.05.2018 03:15 - 01.05.2018 03:30","0","N/A","","2734","1871","1505","25421","N/A","11326"
"01.05.2018 03:30 - 01.05.2018 03:45","0","N/A","","2719","1991","1618","25449","N/A","11310"
"01.05.2018 03:45 - 01.05.2018 04:00","0","N/A","","2705","2028","1649","25474","N/A","11153"
"01.05.2018 04:00 - 01.05.2018 04:15","0","N/A","","2692","1951","1566","25496","N/A","11169"
"01.05.2018 04:15 - 01.05.2018 04:30","0","N/A","","2659","1955","1557","25500","N/A","11157"
"01.05.2018 04:30 - 01.05.2018 04:45","0","N/A","","2627","1874","1463","25512","N/A","11244"
"01.05.2018 04:45 - 01.05.2018 05:00","0","N/A","","2600","1879","1455","25516","N/A","11149"
"01.05.2018 05:00 - 01.05.2018 05:15","0","N/A","","2562","1853","1400","25555","N/A","11341"
"01.05.2018 05:15 - 01.05.2018 05:30","1","N/A","","2537","1733","1271","25580","N/A","11501"
"01.05.2018 05:30 - 01.05.2018 05:45","5","N/A","","2510","1709","1237","25614","N/A","11740"
"01.05.2018 05:45 - 01.05.2018 06:00","35","N/A","","2485","1798","1317","25642","N/A","11927"
"01.05.2018 06:00 - 01.05.2018 06:15","154","N/A","","2460","1819","1333","26121","N/A","12141"
"01.05.2018 06:15 - 01.05.2018 06:30","352","N/A","","2433","1803","1305","26154","N/A","12098"
"01.05.2018 06:30 - 01.05.2018 06:45","638","N/A","","2397","1720","1212","26218","N/A","11981"
"01.05.2018 06:45 - 01.05.2018 07:00","1041","N/A","","2362","1698","1179","26262","N/A","11974"
"01.05.2018 07:00 - 01.05.2018 07:15","1622","N/A","","2329","1632","1103","26301","N/A","12184"
"01.05.2018 07:15 - 01.05.2018 07:30","2291","N/A","","2260","1568","1028","26483","N/A","12158"
"01.05.2018 07:30 - 01.05.2018 07:45","3052","N/A","","2195","1530","981","26671","N/A","12217"
"01.05.2018 07:45 - 01.05.2018 08:00","3864","N/A","","2135","1497","898","26847","N/A","12242"
"01.05.2018 08:00 - 01.05.2018 08:15","4766","N/A","","2061","1458","799","26961","N/A","12272"
"01.05.2018 08:15 - 01.05.2018 08:30","5702","N/A","","1958","1411","694","27018","N/A","12436"
"01.05.2018 08:30 - 01.05.2018 08:45","6661","N/A","","1862","1420","625","27086","N/A","12474"
"01.05.2018 08:45 - 01.05.2018 09:00","7593","N/A","","1769","1394","493","27202","N/A","12378"
"01.05.2018 09:00 - 01.05.2018 09:15","8527","N/A","","1687","1379","502","27301","N/A","12229"
"01.05.2018 09:15 - 01.05.2018 09:30","9436","N/A","","1642","1377","480","27416","N/A","12287"
"01.05.2018 09:30 - 01.05.2018 09:45","10311","N/A","","1590","1377","528","27555","N/A","12544"
"01.05.2018 09:45 - 01.05.2018 10:00","11138","N/A","","1550","1377","541","27714","N/A","12432"
"01.05.2018 10:00 - 01.05.2018 10:15","11917","N/A","","1534","1404","542","27864","N/A","12377"
"01.05.2018 10:15 - 01.05.2018 10:30","12647","N/A","","1573","1476","620","27988","N/A","12361"
"01.05.2018 10:30 - 01.05.2018 10:45","13383","N/A","","1627","1553","688","28105","N/A","12243"
"01.05.2018 10:45 - 01.05.2018 11:00","14083","N/A","","1671","1625","751","28196","N/A","12174"
"01.05.2018 11:00 - 01.05.2018 11:15","14733","N/A","","1731","1706","869","28289","N/A","12312"
"01.05.2018 11:15 - 01.05.2018 11:30","15357","N/A","","1877","1871","1004","28296","N/A","12441"
"01.05.2018 11:30 - 01.05.2018 11:45","15942","N/A","","2032","2037","1203","28284","N/A","12496"
"01.05.2018 11:45 - 01.05.2018 12:00","16500","N/A","","2179","2202","1434","28261","N/A","12649"
"01.05.2018 12:00 - 01.05.2018 12:15","16958","N/A","","2332","2370","1681","28241","N/A","12427"
"01.05.2018 12:15 - 01.05.2018 12:30","17361","N/A","","2448","2557","1860","28165","N/A","12012"
"01.05.2018 12:30 - 01.05.2018 12:45","17721","N/A","","2565","2744","2053","28081","N/A","11831"
"01.05.2018 12:45 - 01.05.2018 13:00","18004","N/A","","2682","2925","2150","28015","N/A","11907"
"01.05.2018 13:00 - 01.05.2018 13:15","18211","N/A","","2798","3112","2252","27959","N/A","11924"
"01.05.2018 13:15 - 01.05.2018 13:30","18333","N/A","","2939","3261","2102","27903","N/A","12070"
"01.05.2018 13:30 - 01.05.2018 13:45","18420","N/A","","3080","3410","2174","27854","N/A","11891"
"01.05.2018 13:45 - 01.05.2018 14:00","18464","N/A","","3222","3560","2281","27761","N/A","11178"
"01.05.2018 14:00 - 01.05.2018 14:15","18426","N/A","","3365","3669","2371","27680","N/A","11405"
"01.05.2018 14:15 - 01.05.2018 14:30","18353","N/A","","3499","3771","2347","27501","N/A","11809"
