"MTU (CET)","Generation - Solar  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Solar  [MW] Intraday / BZN|DE-AT-LU","Generation - Solar  [MW] Current / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Offshore  [MW] Current / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Day Ahead/ BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Intraday / BZN|DE-AT-LU","Generation - Wind Onshore  [MW] Current / BZN|DE-AT-LU"
"01.01.2018 14:30 - 01.01.2018 14:45","3601","2026","","3527","12234","2881","27477","11753","10795"
"01.01.2018 14:45 - 01.01.2018 15:00","2997","1719","","3500","11892","2876","26413","11337","10231"
"01.01.2018 15:00 - 01.01.2018 15:15","2364","1384","","3468","11568","2872","25376","10926","9829"
"01.01.2018 15:15 - 01.01.2018 15:30","1757","1055","","3425","11289","2861","24391","10473","9494"
"01.01.2018 15:30 - 01.01.2018 15:45","1188","737","","3384","11003","2849","23401","10030","8805"
"01.01.2018 15:45 - 01.01.2018 16:00","641","403","","3339","10699","2831","22435","9606","8844"
"01.01.2018 16:00 - 01.01.2018 16:15","262","155","","3291","10802","3193","21577","9249","8561"
"01.01.2018 16:15 - 01.01.2018 16:30","91","49","","3230","11058","3678","21025","8982","8296"
"01.01.2018 16:30 - 01.01.2018 16:45","36","16","","3174","10846","3692","20479","8720","7759"
"01.01.2018 16:45 - 01.01.2018 17:00","14","5","","3116","10585","3647","19965","8473","7729"
"01.01.2018 17:00 - 01.01.2018 17:15","8","0","","3055","10333","3571","19539","8281","7467"
"01.01.2018 17:15 - 01.01.2018 17:30","8","0","","2993","10161","3460","19266","8136","7116"
"01.01.2018 17:30 - 01.01.2018 17:45","8","0","","2933","9974","3338","18988","7994","6847"
"01.01.2018 17:45 - 01.01.2018 18:00","8","0","","2873","9813","3257","18739","7871","6774"
"01.01.2018 18:00 - 01.01.2018 18:15","8","0","","2810","9661","3195","18525","7781","6753"
"01.01.2018 18:15 - 01.01.2018 18:30","8","0","","2745","9423","3039","18342","7682","6802"
"01.01.2018 18:30 - 01.01.2018 18:45","8","0","","2676","9219","2917","18155","7590","6642"
"01.01.2018 18:45 - 01.01.2018 19:00","8","0","","2615","8998","2798","17999","7519","6559"
"01.01.2018 19:00 - 01.01.2018 19:15","0","0","","2557","8775","2680","17834","7425","6517"
"01.01.2018 19:15 - 01.01.2018 19:30","0","0","","2491","8653","2657","17517","7276","6333"
"01.01.2018 19:30 - 01.01.2018 19:45","0","0","","2421","8420","2528","17212","7134","6193"
"01.01.2018 19:45 - 01.01.2018 20:00","0","0","","2340","8237","2435","16905","6984","6159"
"01.01.2018 20:00 - 01.01.2018 20:15","0","0","","2272","8098","2369","16567","6831","6096"
"01.01.2018 20:15 - 01.01.2018 20:30","0","0","","2193","7959","2253","16349","6737","6106"
"01.01.2018 20:30 - 01.01.2018 20:45","0","0","","2122","7896","2215","16117","6637","6070"
"01.01.2018 20:45 - 01.01.2018 21:00","0","0","","2051","7782","2164","15852","6520","5865"
"01.01.2018 21:00 - 01.01.2018 21:15","0","0","","1988","7652","2096","15596","6410","5664"
"01.01.2018 21:15 - 01.01.2018 21:30","0","0","","1925","7552","2050","15347","6236","5399"
"01.01.2018 21:30 - 01.01.2018 21:45","0","0","","1863","7402","1955","15095","6058","5174"
"01.01.2018 21:45 - 01.01.2018 22:00","0","0","","1802","7236","1847","14895","5939","5360"
"01.01.2018 22:00 - 01.01.2018 22:15","0","0","","1740","7097","1816","14701","5829","5394"
"01.01.2018 22:15 - 01.01.2018 22:30","0","0","","1700","6958","1889","14674","5721","5131"
"01.01.2018 22:30 - 01.01.2018 22:45","0","0","","1653","6820","1830","14665","5619","4914"
